family_id,current_year,current_month,sex,age,age_month,life_expectancy,dead,occupation,already_married,entrepreneurship,successful_entrepreneur,life_insurance,body_condition,monthly_health_cost,baby_cost,initial_monthly_income,current_period_income,last_period_employee_income,food_consumption_monthly_value,other_consumption_monthly_value,initial_saving,monthly_saving,total_saving,retirement_monthly_payment,jobless_subsidy,birth_willingness,num_of_children,salary_yearly_increase_rate
fTCr7MHQJJUGkQjKtd76qDCi,1,1,man,15.0,9.0,78.0,False,student,False,False,False,10,healthy,0,0.0,0.0,0.0,0.0,12.0,0.0,0,,0.0,0,0,0.0,0,0.0
fTCr7MHQJJUGkQjKtd76qDCi,1,2,man,15.0,10.0,78.0,False,student,False,False,False,10,healthy,0,0.0,0.0,0.0,0.0,12.0,0.0,0,-12.0,-12.0,0,0,0.0,0,0.0
fTCr7MHQJJUGkQjKtd76qDCi,1,3,man,15.0,11.0,78.0,False,student,False,False,False,10,healthy,0,0.0,0.0,0.0,0.0,12.0,0.0,0,-12.0,-24.0,0,0,0.0,0,0.0
fTCr7MHQJJUGkQjKtd76qDCi,1,4,man,15.0,12.0,78.0,False,student,False,False,False,10,healthy,0,0.0,0.0,0.0,0.0,12.0,0.0,0,-12.0,-36.0,0,0,0.0,0,0.0
fTCr7MHQJJUGkQjKtd76qDCi,1,5,man,16.0,1,78.0,False,student,False,False,False,10,healthy,0,0.0,0.0,0.0,0.0,12.0,0.0,0,-12.0,-48.0,0,0,0.0,0,0.0
fTCr7MHQJJUGkQjKtd76qDCi,1,6,man,16.0,2,78.0,False,student,False,False,False,10,healthy,0,0.0,0.0,0.0,0.0,12.0,0.0,0,-12.0,-60.0,0,0,0.0,0,0.0
fTCr7MHQJJUGkQjKtd76qDCi,1,7,man,16.0,3,78.0,False,student,False,False,False,10,disabled,5,0.0,0.0,0.0,0.0,12.0,0.0,0,-17.0,-77.0,0,0,0.0,0,0.0
fTCr7MHQJJUGkQjKtd76qDCi,1,8,man,16.0,4,78.0,False,student,False,False,False,10,disabled,5,0.0,0.0,0.0,0.0,12.0,0.0,0,-17.0,-94.0,0,0,0.0,0,0.0
fTCr7MHQJJUGkQjKtd76qDCi,1,9,man,16.0,5,78.0,False,student,False,False,False,10,sick,20,0.0,0.0,0.0,0.0,12.0,0.0,0,-32.0,-126.0,0,0,0.0,0,0.0
fTCr7MHQJJUGkQjKtd76qDCi,1,10,man,16.0,6,78.0,False,student,False,False,False,10,healthy,0,0.0,0.0,0.0,0.0,12.0,0.0,0,-12.0,-138.0,0,0,0.0,0,0.0
fTCr7MHQJJUGkQjKtd76qDCi,1,11,man,16.0,7,78.0,False,student,False,False,False,10,healthy,0,0.0,0.0,0.0,0.0,12.0,0.0,0,-12.0,-150.0,0,0,0.0,0,0.0
fTCr7MHQJJUGkQjKtd76qDCi,1,12,man,16.0,8,78.0,False,student,False,False,False,10,sick,20,0.0,0.0,0.0,0.0,12.0,0.0,0,-32.0,-182.0,0,0,0.0,0,0.0
fTCr7MHQJJUGkQjKtd76qDCi,2,1,man,16.0,9,78.0,False,student,False,False,False,10,healthy,0,0.0,0.0,0.0,0.0,12.0,0.0,0,-12.0,-194.0,0,0,0.0,0,0.0
fTCr7MHQJJUGkQjKtd76qDCi,2,2,man,16.0,10,78.0,False,student,False,False,False,10,healthy,0,0.0,0.0,0.0,0.0,12.0,0.0,0,-12.0,-206.0,0,0,0.0,0,0.0
